ArxivID, Title, Authors, Type
1407.8298, "A Genetic Approach to the History of the Magellanic Clouds", Guglielmo et al., RES
1407.8366, "What Regulates Galaxy Evolution? Open Questions in Our Understanding of Galaxy Formation and Evolution", De Lucia et al., REF
1407.8178, "Velocity anti-correlation of diametrically opposed galaxy satellites in the low redshift universe", Ibata et al., RES
1407.8184, "Are Scalar and Tensor Deviations Related in Modified Gravity?", Linder, NEW
1407.8230, "On the Clustering of Compact Galaxy Pairs in Dark Matter Haloes", Wang & Brunner, RES
1407.8189, "Nonlinear evolution of dark matter subhalos and applications to warm dark matter", Pullen et al., RES
1408.0221, "The representations of the sky among the Tomaraho", Sequera & Gangui, DRM
1408.1278, "The first SPIE software Hack Day", Kendrew et al., FUN
1408.1102, "Early galaxy formation in warm dark matter cosmologies", Dayal et al., RES
1408.1217, "Astrophotonic micro-spectrographs in the era of ELTs", Blind et al., DRM
1408.1348, "Efficient Reconstruction of Linear Baryon Acoustic Oscillations in Galaxy Surveys", Burden et al., RES
1408.0799, "Mapping the Cosmic Web with the largest all-sky surveys", Bilicki et al., RES
1408.0293, "On the halo velocity bias", Biagetti et al., RES
1408.1084, "Nonlinear structure formation in Nonlocal Gravity", Barreira et al., NEW
1408.1420, "Ultraviolet Emission Lines in Young Low Mass Galaxies at z~2: Physical Properties and Implications for Studies at z>7", Stark et al., RES
1408.1787, "On the Shoulders of Giants: Properties of the Stellar Halo and the Milky Way Mass Distribution", Kafle et al., RES
1408.1696, "Rapid growth of seed black holes in the early universe by supra-exponential accretion", Park et al., RES
1408.1718, "Rapid growth of seed black holes in the early universe by supra-exponential accretion", Alexander & Natarajan, RES
1408.2561, "The impact of gas bulk rotation on the lyman-alpha line", Garavito-Camargo et al., RES
1408.2527, "The mass evolution of the first galaxies: stellar mass functions and star formation rates at 4<z<7 in the CANDELS GOODS-South field", Duncan et al., RES
1408.2640, "Galaxy Ecosystems: gas contents, inflows and outflows", Lu et al., RES
1408.2566, "Bayesian inference of cosmic density fields from non-linear, scale-dependent, and stochastic biased tracers", Ata et al., NEW
1408.2936, "A transient event in AD 775 reported by al-Tabari: A bolide - not a nova, supernova, or kilonova", Neuhaeuser & Kunitzsch, CBU
1408.2929, "The Chinese comet observation in AD 773 January", Chapman et al., CBU
1408.2733, "ULTRASPEC: a high-speed imaging photometer on the 2.4-m Thai National Telescope", Dhillon et al., COL
1408.3520, "A cosmological exclusion plot: Towards model-independent constraints on modified gravity from current and future growth rate data", Taddei & Amendola, RES
1408.3426, "Binary stars and the UVX in early type galaxies", Hernandez-Perez & Bruzual, RES
1408.3416, "Stellar mass functions of galaxies at 4<z<7 from an IRAC-selected sample in COSMOS/UltraVISTA: limits on the abundance of very massive galaxies", Stefanon et al., RES
1408.3476, "HyperLEDA. III. The catalogue of extragalactic distances", Makarov et al., RES
1408.3166, "The Local Group in the cosmic web", Forero-Romero & Gonzalez, RES
1408.3638, "The Ly-alpha Profiles of Faint Galaxies at z~2-3 with Systemic Redshifts from Keck-MOSFIRE", Erb et al., RES
1408.4250, "Development of ultra-thin polyethylene balloons for high altitude research upto mesosphere", Sunnel Kumar et al., COL
