ArxivID, Title, Authors, Type
1412.1482, "Overview of the SDSS-IV MaNGA Survey: Mapping Nearby Galaxies at Apache Point Observatory", Bundy et al., NEW
1412.1472, "New redshift z ~ 9 galaxies in the Hubble Frontier Fields: Implications for early evolution of the UV luminosity density", McLeod et al., RES
1412.0662, "The physical nature of cosmic accretion of baryons and dark matter into halos and their galaxies", Wetzel & Nagai, RES
1412.1239, "Cosmic evolution of dust in galaxies: Methods and preliminary results", Bekki et al., RES
1412.1089, "Frontier Fields : Combining HST, VLT and Spitzer data to explore the z∼8 Universe behind the lensing cluster MACS0416−240", Laporte et al., RES
1412.0655, "Confirmation of a Steep Luminosity Function for Lyman-alpha Emitters at z = 5.7: A Major Component of Reionization", Dressler et al., RES
1412.2045, "Testing General Relativity and Alternative Theories of Gravity with Space-based Atomic Clocks and Atom Interferometers", Bondarescu et al., NEW
1412.2436, "Origin of the Galaxy Mass-Metallicity-Star-Formation Relation", Harwit & Brisbin, RES
1412.2493, "CALIFA across the Hubble types: Spatially resolved properties of the stellar populations", Gonzalez-Delgado et al., RES
1412.2712, "Physical Models of Galaxy Formation in a Cosmological Framework", Somerville & Dave, REF
1412.2134, "Classification of Stellar Orbits in Axisymmetric Galaxies", Li et al., NEW
1412.2139, "Scaling Relations Between Warm Galactic Outflows and Their Host Galaxies", Chisholm et al., RES
1412.2141, "Galaxy And Mass Assembly (GAMA): The galaxy luminosity function within the cosmic web", Eardley et al., RES
1412.1119, "Star Formation Isochrone Surfaces: Clues on Star Formation Quenching in Dense Environments", Aragon-Calvo et al., NEW
1412.2748, "Local Group galaxies emerge from the dark", Sawala et al., RES
1412.3451, "galpy: A Python Library for Galactic Dynamics", Bovy, RES
1412.3796, "Baryon Acoustic Peak and the Squeezed Limit Bispectrum", Mirbabayi et al., RES
1412.3564, "Cosmological constraints from the redshift dependence of the Alcock-Paczynski test: galaxy density gradient field", Li et al., RES
1412.3515, "Angular momentum - mass relation for dark matter haloes", Liao et al., RES
1412.3455, "Linking Tests of Gravity On All Scales: from the Strong-Field Regime to Cosmology", Baker et al., NEW
1405.1043, "Hot gas in massive halos drives both mass quenching and environment quenching", Gabor & Dave, RES
1412.3116, "Constraining the Milky Way's Hot Gas Halo with OVII and OVII Emission Lines", Miller & Bregman, NEW
1412.5228, "HALOGEN: A new tool for fast generation of mock halo catalogues", Avila et al., NEW
1412.5195, "Rapid simulation rescaling from standard to modified gravity models", Mead et al., NEW
1412.5187, "High performance computing and numerical modelling", Springel, REF
1412.5186, "Mesh-free free-form lensing I: Methodology and application to mass reconstruction", Merten, NEW
1407.0059, "Beyond the Cosmological Standard Model", Joyce et al., REF
1412.5368, "The exclusion of a significant range of ages in a massive star cluster", Li et al., NEW
1412.4790, "Lyman-alpha emitters gone missing: evidence for late reionization?", Choudhury et al., RES
1302.5341, "Counting And Confusion: Bayesian Rate Estimation With Multiple Populations", Farr et al., NEW
1412.5049, "Analytic Prediction of Baryonic Effects from the EFT of Large Scale Structures", Lewandowski et al., NEW
1412.5151, "Homogeneity and isotropy in the 2MASS Photometric Redshift catalogue", Alonso et al., NEW
1412.4815, "Early Growth in a Perturbed Universe: Exploring Dark Matter Halo Populations in 2LPT and ZA Simulations", Sissom et al., NEW
1412.4671, "Testing Inflation with Large Scale Structure: Connecting Hopes with Reality", Alvarez et al., NEW
1410.3831, "An exact mapping between the Variational Renormalization Group and Deep Learning", Mehta & Schwab, FUN
1412.4133, "Scaling relations between black holes and their host galaxies: comparing theoretical and observational measurements, and the impact of selection effects", DeGraf et al., RES
1412.4727, "Optimizing BAO measurements with non-linear transformations of Lyman-alpha forest", Wang et al., NEW
1412.4075, "A New Model for Dark Matter Halos Hosting Quasars", Cen & Safarzadeh, RES
1412.4781, "Measuring primordial non-Gaussianity in the galaxy power spectrum: general relativity makes a difference", Camera et al., NEW
1412.5121, "Statistics of Caustics in Large-Scale Structure Formation", Feldburgge et al., RES
1412.4859, "Evolution of the Milky Way with radial motions of stars and gas II. The evolution of abundance profiles from H to Ni", Kubryk et al., NEW
1412.3804, "A new methodology to test galaxy formation models using the dependence of clustering on stellar mass", Campbell et al., RES
1412.3816, "Modelling galaxy spectra in presence of interstellar dust-III. From nearby galaxies to the distant Universe", Cassara et al., RES
1412.3819, "Black hole growth and AGN feedback under clumpy accretion", DeGraf et al., RES
1412.3845, "Constraining Very High Mass Population III Stars through He II Emission in Galaxy BDF-521 at z = 7.01", Cai et al., RES
1412.3862, "Why do galaxies stop forming stars? I. The passive fraction - black hole mass relation for central galaxies", Bluck et al., RES
1412.3866, "Two-size approximation: a simple way of treating the evolution of grain size distribution in galaxies", Hirashita, NEW
1412.6035, "Forensics of Subhalo-Stream Encounters: The Three Phases of Gap Growth", Erkal & Belokurov, NEW
1412.5916, "Sub-Megaparsec Individual Photometric Redshift Estimation from Cosmic Web Constraints", Aragon-Calvo et al., RES
1412.5584, "The stellar mass - halo mass relation from galaxy clustering in VUDS: a high star formation efficiency at z~3", Durkalec et al., RES
1412.6114, "An Origami Approximation to the Cosmic Web", Neyrinck, RES
1412.6444, "A Raspberry Pi-Based Attitude Sensor", Sreejit et al., FUN
1409.5433, "The Herschel view of the dominant mode of galaxy growth from z=4 to the present day", Schreiber et al., RES
1412.7310, "Cosmic flows and the expansion of the Local Universe from nonlinear phase-space reconstructions", Hess & Kitaura, RES
1412.7162, "PRIMUS: Galaxy Environment on the Quiescent Fraction Evolution at z < 0.8", Hahn et al., RES
1412.7160, "The NIFTY way of Bayesian signal inference", Selig, NEW
