ArxivID, Title, Authors, Type
1406.7097, "Stochastic Star Formation & Feedback: Mapping Low-Mass Galaxies to Dark Matter Haloes", Power et al., RES
1406.7796, "Non-Gaussian inference from non-linear and non-Poisson biased distributed data", Ata et al, RES
1406.7843, "Bias in the Effective Field Theory of Large Scale Structures", Senatore, RES
1406.7292, "Lyman Alpha Emitting Galaxies as a Probe of Reionization", Dijkstra, RES
1407.0060, "Analytic model for the matter power spectrum, its covariance matrix, and baryonic effects", Mohammed & Seljak, RES
1407.0031, "Inferring the Redshift Distribution of the Cosmic Infrared Background", Schmidt et al., RES
1407.0059, "Beyond the Cosmological Standard Model", Joyce et al., REF
1407.0245, "Optimal observables in galaxy surveys", Carron et al., RES
1407.0390, "The Gigaparsec WiggleZ Simulations: Characterising scale dependant bias and associated systematics in growth of structure measurements", Poole et al., RES
1407.0394, "The universal nature of subhalo accretion", Libeskind et al., RES
1407.1236, "Constraining the halo bispectrum in real and redshift space from perturbation theory and non-linear stochastic bias", Kitaura et al., RES
1407.1295, "Self-similarity and universality of void density profiles in simulation and SDSS data", Nadathur et al., RES
1407.1054, "The MASSIVE Survey - I. A Volume-Limited Integral-Field Spectroscopic Study of the Most Massive Early-Type Galaxies within 108 Mpc", Ma et al., NEW
1407.0026, "The Evryscope: the first full-sky gigapixel-scale telescope", Law et al., NEW
1407.1342, "A coarse grained perturbation theory for the Large Scale Structure, with cosmology and time independence in the UV", Manzotti et al., RES
