ArxivID, Title, Authors, Type
1410.0007, "Fluctuation Spectroscopy: A New Probe of Old Stellar Populations", van Dokkum & Conroy, NEW
1410.0023, "The star formation activity in cosmic voids", Ricciardelli et al., RES
1410.0015, "Universality of dark matter haloes shape over six decades in mass: Insights from the Millennium XXL and SBARBINE simulations", Boamigo et al., RES
1410.0355, "Dark matter voids in the SDSS galaxy survey", Leclerq et al., RES
1410.0365, "Galaxy formation in the Planck Cosmology I - Matching the observed evolution of star-formation rates, colours and stellar masses", Henriques et al., RES
1410.0962, "Accounting for Cosmic Variance in Studies of Gravitationally-Lensed High-Redshift Galaxies in the Hubble Frontier Field Clusters", Robertson et al., RES
1410.1241, "Sussing Merger Trees : The Impact of Halo Merger Trees on Galaxy Properties in a Semi-Analytic Model", Lee et al., RES
1410.0681, "The Quenching of the Ultra-Faint Dwarf Galaxies in the Reionization Era", Brown et al., NEW
1410.1546, "Bayesian large-scale structure inference: initial conditions and the cosmic web", Leclerq & Wandelt, RES
1410.1241, "Sussing Merger Trees : The Impact of Halo Merger Trees on Galaxy Properties in a Semi-Analytic Model", Lee et al., RES
1410.1181, "Collision-free motion planning for fiber positioner robots: discretization of velocity profiles", Makarem et al., RES
1410.1256, "Determination of the large scale volume weighted halo velocity bias in simulations", Zheng et al., RES
1410.1808, "Upper Limit to the Transverse to Longitudinal Motion Coupling of a Waveguide Mirror", Leavey et al., NEW
1410.1192, "Spin Alignment in Analogues of The Local Sheet", Conidis, RES
1410.1751, "The Most Luminous Galaxies Discovered by WISE", Tsai et al., NEW
1410.1535, "The sizes of z∼6−8 lensed galaxies from the Hubble Frontier Fields Abell 2744 data", Kawamata et al., RES
1410.1881, "The SL2S Galaxy-scale Lens Sample. V. Dark Matter Halos and Stellar IMF of Massive ETGs out to Redshift 0.8", Sonnenfeld et al., RES
1410.2242, "A Comprehensive Search for Dark Matter Annihilation in Dwarf Galaxies", Geringer-Sameth et al., NEW
1410.2805, "HACC: Simulating Sky Surveys on State-of-the-Art Supercomputing Architectures", Habib et al., RES
1410.2856, "Builders Instead of Consumers: Training Astronomers in Instrumentation & Observation", Tuttle et al., NEW
1410.2521, "Structural Parameters of Star Clusters: Stochastic Effects", Narbutis et al., NEW
1410.2895, "Observing Ultra-High Energy Cosmic Rays with Smartphones", Whiteson et al., NEW
1410.3219, "Rich: Open Source Hydrodynamic Simulation on a Moving Voronoi Mesh", Yalinewich et al., NEW
1410.4751, "The Persistent Percolation of Single-Stream Voids", Falck & Neyrinck, RES
1410.4568, "The mass-concentration relation in lensing clusters: the role of statistical biases and selection effects", Sereno et al., RES
1410.4559, "Two new methods to detect cosmic voids without density measurements", Elyv et al., RES
1410.4722, "An 8-mm diameter Fiber Robot Positioner for Massive Spectroscopy Surveys", Fahim et al., RES
1410.4565, "Data Mining for Gravitationally Lensed Quasars", Agnello et al., NEW
1410.4684, "Hunting down systematics in baryon acoustic oscillations after cosmic high noon", Prada et al., RES
1410.5262, "Gravitational redshift of galaxies in clusters from SDSS and BOSS", Sadeh et al., NEW
1410.4937, "Galaxy stellar mass assembly: the difficulty to match observations and semi-analytical predictions", Cousin et al., RES
1410.4938, "Toward a new modelling of gas flows in a semi-analytical model of galaxy formation and evolution", Cousin et al., RES
