Arxiv ID, Title, Authors, Type 
1507.08552, "How Astronomers View Education and Public Outreach: An Exploratory Study", Dang & Russo, OUT NEW
1507.04362, "An Origin for Multi-Phase Gas in Galactic Winds and Halos", Thompson et al., NEW RES
1507.08724, "Bayesian redshift-space distortions correction from galaxy redshift surveys", Kitaura et al., NEW RES
1508.01037, "X-ray Analysis of Filaments in Galaxy Clusters", Walker et al., RES
1508.01034, "Cosmic explosions, life in the Universe and the Cosmological Constant", Piran et al., NEW FUN
1508.00566, "Including parameter dependence in the data and covariance for cosmological inference", White & Padmanabhan, RES NEW
1508.00583, "Galaxy Clustering in 3D and Modified Gravity Theories", Munshi et al., RES NEW
1508.00007, "In-N-Out: the gas cycle from dwarfs to spiral galaxies", Christensen et al., RES 
1508.00035, "Combining spectroscopic and photometric surveys using angular cross-correlations III: Galaxy bias and stochastisity", Eriksen & Gaztanaga, RES NEW
1508.01204, "The Galaxy UV Luminosity Function Before the Epoch of Reionization", Mason et al., RES
1508.01524, "Recoiling black holes: prospects for detection and implications of spin alignment", Blecha et al., RES
1508.01525, "Large-Scale Mass Distribution in the Illustris-Simulation", Haider et al., RES
1508.02195, "Non-universality of dark-matter halos: cusps, cores, and the central potential", Hjorth et al., RES NEW
1508.02584, "Haloes light and dark: dynamical models of the stellar halo and constraints on the mass of the Galaxy", William & Evans. RES NEW
1508.02400, "Physical origin of the large-scale conformity in the specific star formation rates of galaxies", Kauffmann, RES
1508.02484, "Exploring Photometric Redshifts as an Optimization Problem", Speagle et al., RES NEW
1508.02145, "Hyper-Fit: Fitting Linear Models to Multidimensional Data with Multivariate Gaussian Uncertainties", Robotham & Obreschkow, RES NEW
