Arxiv ID, Title, Authors, Type
1412.7768, "Multi-stream portrait of the Cosmic web", Ramachandra & Shandarin, RES
1412.8219, "Dust Attenuation in High Redshift Galaxies -- 'Diamonds in the Sky'", Scoville et al., RES
1412.8372, "Universal void density profiles from simulation and SDSS", Nadathur et al., RES
1412.8738, "Dynamics of pairwise motions in the Cosmic Web", Hellwing, RES
1501.00574, "Made-To-Measure Models of Self-Similar Triaxial Halos with Steep Inner Density Gradients", Malvido & Sellwood, RES
1407.7129, "Four phases of angular-momentum buildup in high-z galaxies: from cosmic-web streams through an extended ring to disc and bulge", Danovich et al., NEW
1501.00963, "The Eleventh and Twelfth Data Releases of the Sloan Digital Sky Survey: Final Data from SDSS-III", Alam et al., REF
1211.0014, "Cold accretion in early galaxy formation and its Lyman-alpha signatures", Yajima et al., RES
1410.7239, "Secondary Production as the Origin for the Cosmic Ray Positron Excess", Ahlen & Tarle, NEW
1501.00989, "Simulating the growth of Intermediate Mass Black Holes", Pacucci & Ferrara, RES
1501.00996, "Using Atomic Clocks to Detect Gravitational Waves", Loeb & Maoz, NEW
1501.01017, "The Outer Stellar Populations and Environments of Unusually HI-rich Galaxies", Kauffmann, RES
1501.01200, "Dark Matter 2014", Schumann, REF
1501.00738, "A Unifying Theory for Scaling Laws of Human Populations", Lin and Loeb, FUN
1501.01375, "A possible close supermassive black-hole binary in a quasar with optical periodicity", Graham et al., RES
1501.01306, "Understanding the cosmic web", Cautun et al., RES
1501.01564, "Galaxy Formation & Dark Matter Modelling in the Era of the Square Kilometre Array", Power et al., RES
1501.01334, "The explosion mechanism of core-collapse supernovae: progress in supernova theory and experiments", Foglizzo et al., FUN
1501.01556, "Simulating Deep Hubble Images With Semi-empirical Models of Galaxy Formation", Taghizadeh-Popp et al., RES
1501.01054, "Reverse Shock Emission and Ionization Break Out Powered by Post-merger Millisecond Magnetars", Wang et al., NEW
1501.01197, "Numerical Simulation of Hot Accretion Flows (III): Revisiting wind properties using trajectory approach", Yuan et al., NEW
1501.01972, "Satellite Dwarf Galaxies in a Hierarchical Universe: Infall Histories, Group Preprocessing, and Reionization", Wetzel et al., RES
1501.01977, "The mass accretion rate of galaxy clusters: a measurable quantity", De Boni et al., RES
1501.02227, "Extended distribution functions for our Galaxy", Sanders & Binney, RES
1501.02120, "Clues on void evolution III: Structure and dynamics in void shells", Ruiz et al., RES
1501.02055, "Impact of Baryonic Processes on Weak Lensing Cosmology: Higher-Order Statistics and Parameter Bias", Osato et al., NEW
1501.01976, "The Efficiency of Stellar Reionization: Effects of Rotation, Metallicity, and Initial Mass Function", Topping & Shull, RES
1501.01959, "An adaptively refined phase-space element method for cosmological simulations and collisionless dynamics", Hahn & Angulo, RES
1501.02798, "Assembly Bias & Redshift-Space Distortions: Impact on cluster dynamics tests of general relativity", Hearin, RES
1501.02937, "Galaxy bulges and their massive black holes: a review", Graham, REF
1501.02840, "Environment-based selection effects of Planck clusters", Kosyra et al., RES
1501.02577, "The Void Galaxy Survey: Morphology and Star Formation Properties of Void Galaxies", Beygu et al., RES
1501.02668, "Metallicity gradients in local field star-forming galaxies: Insights on inflows, outflows, and the coevolution of gas, stars and metals", Ho et al., RES
1501.02267, "The Impact of Galactic Feedback on the Circumgalactic Medium", Suresh et al., RES
1501.02371, "Witnessing a merging bullet being stripped in the galaxy cluster, RXCJ2359.3-6042", Chon & Boehringer, RES
1501.02387, "The Lyman alpha reference sample: IV. Morphology at low and high redshift", Guaita et al., RES
1501.02806, "The Progenitors of the Milky Way Stellar Halo: Big Bricks Favoured over Little Bricks", Deason et al., RES
1501.03014, "On the origin of intrinsic alignment in cosmic shear measurements: an analytic argument", Cameliio & Lombardi, RES
1501.03083, "The Effect of Environment on Milky Way-mass galaxies in a Constrained Simulation of the Local Group", Creasey et al., RES
1501.03162, "Evryscope science: exploring the potential of all-sky gigapixel-scale telescopes", Law et al., INST
1501.03180, "A 400 solar mass black hole in the Ultraluminous X-ray source M82 X-1 accreting close to its Eddington limit", Pasham et al., RES
1501.03460, "Gamma-ray halo around the M31 galaxy as seen by the Fermi LAT"< Pshirkov et al., RES
1501.03376, "Cold imprint of supervoids in the Cosmic Microwave Background re-considered with Planck and BOSS DR10", Kovacs & Granett, RES
1501.04966, "PHAT Stellar Cluster Survey. II. Andromeda Project Cluster Catalog", Clifton Johnson et al., NEW
1501.04982, "Scale-dependent bias from an inflationary bispectrum: the effect of a stochastic moving barrier", Biagetti & Desjacques, NEW
1501.04738, "The GRAVITY metrology system: narrow-angle astrometry via phase-shifting interferometry", Lippa et al., INST
1501.04908, "Euclid space mission: a cosmological challenge for the next 15 years", Scaramella et al., REF
1501.04382, "The accretion history of dark matter halos II: The connections with the mass power spectrum and the density profile", Correa et al., RES
1501.04105, "The bias of the submillimetre galaxy population: SMGs are poor tracers of the most massive structures in the z ~ 2 Universe", Miller et al., RES
1501.03180v1, "A 400 solar mass black hole in the Ultraluminous X-ray source M82 X-1 accreting close to its Eddington limit", Pasham et al., RES
1501.04634v1, "Relationship between star formation rate and black hole accretion at z=2: The different contributions in quiescent, normal and starburst galaxies", Rodhiguiero et al., RES
1501.03898, "Measuring the luminosity and virial black hole mass dependence of quasar-galaxy clustering at z ~ 0.8", Krolewski & Eisenstein, RES
