Arxiv ID, Title, Authors, Type 
 1506.08828, "Record-breaking compact stellar systems in the Sloan Digital Sky Survey", Sandoval et al., RES
1506.08196, "Stability of Gas Clouds in Galactic Nuclei: An Extended Virial Theorem", Chen et al., RES NEW
1506.08205, "The Spectroscopic Properties of Lyα-Emitters at z ≈ 2.7: Escaping Gas and Photons from Faint Galaxies", Trainor et al., RES 
1506.08201, "A High-Resolution Hubble Space Telescope Study of Lyman Continuum Leakers at z∼3", Mostardi et al., RES
1506.08846, "The Link Between the Formation Rates of Clusters and Stars in Galaxies", Chandar et al., RES
1507.03643, "The APOSTLE project: Local Group kinematic mass constraints and simulation candidate selection", Fattahi et al., RES
1507.03801, "Star Formation in the Local Universe from the CALIFA sample. I. Calibrating the SFR using IFS data", Catalan-Torrecilla et al, RES
1507.00728, "Dusty galaxies and the degeneracy between their dust distributions and the attenuation formula", Penner et al., RES
1507.00999, "An Empirical Model for the Galaxy Luminosity and Star-Formation Rate Function at High Redshift", Mashian et al., RES
1507.01005, "A Three-Dimensional Map of Milky-Way Dust", Green et al., RES
1507.01004, "Molecular gas as the driver of fundamental galactic relations", Bothwell et al., RES
1506.08205, "The Spectroscopic Properties of Lyα-Emitters at z ≈ 2.7: Escaping Gas and Photons from Faint Galaxies", Trainor et al., RES
1507.02679, "Lyman-alpha Emission from a Luminous z=8.68 Galaxy: Implications for Galaxies as Tracers of Cosmic Reionization", Zitrin et al., RES
1507.02290, "An Over-Massive Black Hole in a Typical Star-Forming Galaxy, 2 Billion Years After the Big Bang", Trakhtenbrot et al., RES
1507.03594, "A timing constraint on the (total) mass of the Large Magellanic Cloud", Penarrubia et al., RES
1506.08196, "Stability of Gas Clouds in Galactic Nuclei: An Extended Virial Theorem", Chen et al., RES
1507.03989, "Software Use in Astronomy: an Informal Survey", Momcheva & Tollerud, INFO RES FUN
1507.03995, "Matching the dark matter profiles of dSph galaxies with those of simulated satellites: a two parameter comparison", Breddels et al., RES
