Arxiv ID, Title, Authors, Type 
1506.01538, "An Overview of High-Altitude Balloon Experiments at the Indian Institute of Astrophysics", Safonova et al., INST NEW FUN
1506.01377, "The Impossibly Early Galaxy Problem", Steinhardt et al., RES
1506.01035, "A First Determination of the Bright End of the z~9 and z~10 UV Luminosity Functions using all five CANDELS Fields", Bouwens et al., RES
1506.01405, "Major Mergers Going Notts: Challenges for Modern Halo Finders", Behroozi et al., RES
1506.00638, "IMF - metallicity: a tight local relation revealed by the CALIFA survey", Martin-Navarro et al., RES
1506.03900, "The BOSS-WiggleZ overlap region I: Baryon Acoustic Oscillations", Beutler et al., RES
1506.03836, "A systematic study of Lyman-Alpha transfer through outflowing shells: Model parameter estimation", Gronke et al., RES
1506.03737, "L-PICOLA: A parallel code for fast dark matter simulation", howlett et al., RES
1506.03789, "Structure formation in warm dark matter cosmologies: Top-Bottom Upside-Down", Paduriou et al., NEW
1506.03901, "The BOSS-WiggleZ overlap region II: dependence of cosmic growth on galaxy type", Marin et al., RES
1506.04151, "Planes of satellite galaxies: when exceptions are the rule", Cautun et al., RES
1506.04750, "The Growth Efficiency of High-Redshift Black Holes", Pacucci&Volonteri, RES
