Arxiv ID, Title, Authors, Type
1503.01753, "The VIMOS Ultra Deep Survey: Lyα Emission and Stellar Populations of Star-Forming Galaxies at 2<z<2.5", Hathi et al., RES
1503.01509, "SETI at Planck Energy: When Particle Physicists Become Cosmic Engineers", Lacki, FUN TEACH NEW
1503.01650, "The fastest unbound star in our Galaxy ejected by a thermonuclear supernova", Gier et al., NEW RES FUN
1503.01486, "Electromagnetic Torques, Precession and Evolution of Magnetic Inclination of Pulsars", Zanazzi & Lai, TEACH
1503.01503, "The chemical evolution of local star forming galaxies: Radial profiles of ISM metallicity, gas mass, and stellar mass and constraints on galactic accretion and winds", Kudritzki et al., RES NEW
1503.01467, "Three-dimensional Analytical Description of Magnetised Winds from Oblique Pulsars", Tchekhovskoy  et al., FUN NEW TEACH
1503.01124, "P-MaNGA: Full spectral fitting and stellar population maps from prototype observations", Wilkinson et al., RES
1503.01107, "Hot Gaseous Coronae around Spiral Galaxies: Probing the Illustris Simulation", Bogdan et al., RES
1503.01157, "The Lyman Alpha Reference Sample: V. The impact of neutral ISM kinematics and geometry on Lyman Alpha escape", Rivera-Thorsen et al., RES
1503.01146, "The Lick AGN Monitoring Project 2011: Spectroscopic Campaign and Emission-Line Light Curves", Barth et al., NEW RES
1503.01120, "The evolution of the X-ray luminosity functions of unabsorbed and absorbed AGNs out to z~5", Aird et al., RES NEW
1503.01117, "Galactic Angular Momentum in the Illustris Simulation: Feedback and the Hubble Sequence", Genel et al., RES
1503.00730, "Cosmic web-type classification using decision theory", Leclercq et al., RES
1503.00723, "The Milky Way and Andromeda galaxies in a constrained hydrodynamical simulation: morphological evolution", Scannapieco et al., RES
1503.00755, "Star Formation in Semi-Analytic Galaxy Formation Models with Multiphase Gas", Sommerville et al., RES
1503.00720, "A Comprehensive Archival Search for Counterparts to Ultra-Compact High Velocity Clouds: Five Local Volume Dwarf Galaxies", Sand et al., RES
1503.01109, "Exploring the liminality: properties of haloes and subhaloes in borderline f(R) gravity", Shi et al., RES
1503.00313, "Comparing halo bias from abundance and clustering", Hoffmann et al., RES NEW
1503.00111, "Dark-energy dependent test of general relativity at cosmological scales", Zolnierowski & Blanchard, RES NEW
1503.00257, "Rings and Radial Waves in the Disk of the Milky Way", Xu et al., RES NEW
1503.00004, "Evolution of the Hβ+[OIII] and [OII] luminosity functions and the [OII] star-formation history of the Universe up to z ~ 5 from HiZELS", Khostovan et al., RES
1503.00002, "A dusty, normal galaxy in the epoch of reionization", Watson et al., RES
1502.07751, "sCOLA: The N-body COLA Method Extended to the Spatial Domain", Tassev et al., RES
1503.02052, "Measuring Star-formation Rate and Far-Infrared Color in High-redshift Galaxies", Lu et al., RES 
1503.01795, "The computer BESK and an early attempt to simulate galactic dynamics", Lindblad, TEACH FUN REF
1503.01775, "The EFT of Large Scale Structures at All Redshifts: Analytical Predictions for Lensing", Foreman & Senatore, RES NEW
1503.01785, "A Hubble Astrometry Initiative: Laying the Foundation for the Next-Generation Proper-Motion Survey of the Local Group", Kallivayalil et al., REF RES
1503.01975, "Development of a micro-satellite TSUBAME for X-ray polarimetry of GRBs", Kurita et al., INST TEACH
1503.02584, "Eight New Milky Way Companions Discovered in First-Year Dark Energy Survey Dat", DES Collaborations, RES
1503.02233, "StratOS: A Big Data Framework for Scientific Computing", Stickley & Aragon-Calvo, RES 
1503.02667, "The spatially resolved Kennicutt-Schmidt relation in the HI dominated regions of spiral and dwarf irregular galaxies", Roychowdhury et al., RES
1503.02689, "Novel Adaptive softening for collisionless N-body simulations: Eliminating spurious halos", Hobbs et al., RES
1503.02661, "The SINFONI Nearby Elliptical Lens Locator Survey", Smith et al., RES NEW
1503.02665, "Zooming in on accretion - I. The structure of halo gas", Nelson et al., RES
1503.02942, "The extent of gravitationally bound structure in a ΛCDM universe", Pearson, RES
1503.02728, "Symplectic integration for the collisional gravitational N-body problem", Hernandez & Bertschinger, RES NEW REF TEACH
1503.02079, "Discovery of a large number of Ultra Faint satellites in the vicinity of the Magellanic Clouds", Koposov et al., RES
1503.03078, "A cosmological context for compact massive galaxies", Stringer et al., RES NEW
1503.03134, "Galaxy Groups: A 2MASS Catalog", Tully, RES NEW
1503.03317, "Probing Dark Energy models with neutrons", Pignol, RES NEW
1503.03070, "A Fundamental Plane of Spiral Structure in Disk Galaxies", Davis et l., RES
1503.03501, "Connecting Angular Momentum and Galactic Dynamics: The complex Interplay between Spin, Mass, and Morphology", Teklu et al., RES
1409.4480, "The Lyman-alpha signature of the first galaxies", Smith et al., RES
1503.03939, "Multi-wavelength Emission from the Fermi Bubble Stochastic (Fermi) Re-Acceleration of Relativistic Electrons Emitted by SNRs", Cheng et al., NEW TEACH
1503.03973, "Testing subhalo abundance matching from redshift-space clustering",Yamamoto et al., RES NEW
1503.04033, "Influence from cosmological uncertainties on galaxy number count at faint limit", Shen et al., NEW RES
1503.03873, "The Event Horizon of M87", Broderick et al., RES NEW
1503.04890, "On the total cosmological information in galaxy clustering: an analytical approach", Wolk et al., RES NEW
1503.04818, "NIHAO project I: Reproducing the inefficiency of galaxy formation across cosmic time with a large sample of cosmological hydrodynamical simulations", Wang et al., RES 
1503.04814, "NIHAO project II: Halo shape, phase-space density and velocity distribution of dark matter in galaxy formation simulations", Butsky et al., RES
1503.04813, "Galaxy And Mass Assembly (GAMA) Blended Spectra Catalog: Strong Galaxy-Galaxy Lens and Occulting Galaxy Pair Candidates", Holwerda, NEW FUN
1503.03929, "Hα, UV, and IR star-formation rate diagnostics for a large sample of z ~ 2 galaxies", Shivaei et al., RES
1503.04324, "The importance of the cosmic web and halo substructure for power spectra", Pace et al., RES NEW
1503.04467, "A Consistency Relation for the Observed Galaxy Bispectrum and the Local non-Gaussianity from Relativistic Corrections", Kehagias et al., RES NEW
1503.04801, "Going with the flow: using gas clouds to probe the accretion flow feeding Sgr A*", McCourt & Madigan, NEW 
