Arxiv ID, Title, Authors, Type 
1505.01170, "Redshift-space distortions of galaxies, clusters and AGN", Marulli et al., RES
1505.01031, "The matter distribution in z ~ 0.5 redshift clusters of galaxies. II : The link between dark and visible matter",Soucail et al., RES
1505.01171, "Measuring galaxy environments in large scale photometric surveys" , Etherington & Thomas, RES
1505.01290, "An extremely young massive clump forming by gravitational collapse in a primordial galaxy", Zanella et al., RES
1505.01193, "Gaussian random field power spectrum and the Sérsic law", Nipoti et al., NEW
1505.01195, "Thirty Meter Telescope Detailed Science Case: 2015", Skidmore et al., REF
1505.00325, "Two-dimensional segmentation of small convective patterns in radiation hydrodynamics simulations", Lemmerer et al., RES NEW
1505.00788, "The ecology of dark matter haloes I: The rates and types of halo interactions", L'Huiller et al., RES
1505.00782, "Robust New Statistic for fitting the Baryon Acoustic Feature", Osumi et al., RES
1505.00811, "Revisiting the Unified Model of Active Galactic Nuclei", Netzer, REF
1505.00727, "Solar wind modeling: a computational tool for the classroom", Woolsey et al., TEACH
1505.00442, "The VIMOS Public Extragalactic Redshift Survey (VIPERS): On the correct recovery of the count-in-cell probability distribution function", Bel et al., RES
