Arxiv ID, Title, Authors, Type 
1510.00147, "The Low Redshift survey at Calar Alto (LoRCA)", Comparat et al., NEW RES
1510.01711, "Spin Flips - II. Evolution of dark matter halo spin orientation, and its correlation with major mergers", Bett & Frenk
1510.03869, "Star(bursts) of FIRE: observational signatures of bursty star formation in galaxies", Sparre et al., RES
1510.04900, "Cosmicflows Constrained Local UniversE Simulations", Sorce et al., RES
1510.05654, "On the universality of interstellar filaments: theory meets simulations and observations", Federrath, RES
1510.05471, "An Investigation of Collisions between Fiber Positioning Units in LAMOST", Liu and Wang, RES
1510.06318, "The Parker Instability in Disk Galaxies", Rodrigues et al, RES
1510.05647, "Lyman-Alpha Emitting Galaxies as a Probe of Reionization: Large-Scale Bubble Morphology and Small-Scale Absorbers", Kakiichi et al., RES
1510.06028, "The Plane Truth: Andromeda analog thin Planes of Satellites are not kinematical coherent structures", Buck et al., RES
1510.06402, "Machine Learning and Cosmological Simulations I: Semi-Analytical Models", Kamdar et al., RES
1510.06665, "Efficient Construction of Mock Catalogs for Baryon Acoustic Oscillation Surveys", Sunayamaa et al., RES
1510.06409, "The Mass Profile of the Milky Way to the Virial Radius from the Illustris Simulation", Taylor et al., RES
1510.07621, "CONCEPT - The COsmological N-body CodE in PyThon", Dakin, RES FUN
1502.03477, "Estimating the dark matter halo mass of our Milky Way using dynamical tracers", Wang et al., RES 
1510.07892, " Dynamical friction and scratches of orbiting satellite galaxies on host systems", Ogiya & Burkert, RES
1510.07695, " Non-linear violent disc instability with high Toomre's Q in high-redshift clumpy disc galaxies", Inoue et al., RES
1510.07690, "Constraining the dynamical importance of hot gas and radiation pressure in quasar outflows using emission line ratios", Stern et al., RES
1510.07574, "A Daytime Measurement of the Lunar Contribution to the Night Sky Brightness in LSST's ugrizy Bands-- Initial Results", Coughlin et al., DESI
1510.07047, " Limits on Intergalactic Dust During Reionization", Imara & Loeb, RES
1510.07043, " Bayesian Redshift Classification of Emission-line Galaxies with Photometric Equivalent Widths", Leung et al., RES
1510.07411, " Detection of Molecular Gas in Void Galaxies : Implications for Star Formation in Isolated Environments", Das et al., RES
1510.07050m " Environmental dependence of the HI mass function in the ALFALFA 70% catalogue", Jones et al., RES
