Arxiv ID, Title, Authors, Type 
0, "Binary Population and Spectral Synthesis", "http://bpass.auckland.ac.nz/index.html", SOFT
1601.07559, "Binary Stars Can Provide the "Missing Photons" Needed for Reionization", Ma et al., RES
1601.07178, "The feeble giant. Discovery of a large and diffuse Milky Way dwarf galaxy in the constellation of Crater", Torrealba et al., RES
1601.07186, "An instability of feedback regulated star formation in galactic nuclei", Torrey et al., RES
1602.01015, "Non-parametric reconstruction of cosmological matter perturbations", Gonzalez et al., RES
1601.08228, "The Void Galaxy Survey: Star Formation Properties", Beygu et al., RES
1601.07905, "The Eating Habits of Milky Way Mass Halos: Destroyed Dwarf Satellites and the Metallicity Distribution of Accreted Stars", Deason et al., RES
1602.00688, "Hubble imaging of the ionizing radiation from a star-forming galaxy at z=3.2 with fesc>50%", Vanzella et al., RES
1602.01830, "Pipe3D, a pipeline to analyse integral field spectroscopy data: II. Analysis sequence and CALIFA dataproducts", Sanchez et al., RES
1602.01843, "The Launching of Cold Clouds by Galaxy Outflows II: The Role of Thermal Conduction", Brueggen & Scannapieco, RES
1602.01941, "The cosmic evolution of massive black holes in the Horizon-AGN simulation", Volonteri et al., RES
